Ver además>
Riesgo de pobreza
Arizona - Población
Fecha Densidad Población
2023 25 7.431.344
2022 25 7.365.684
2021 25 7.272.487
2020 24 7.186.683
2019 24 7.070.511
2018 24 6.969.944
2017 23 6.879.830
2016 23 6.801.591
2015 23 6.714.328
2014 22 6.638.196
2013 22 6.563.216
2012 22 6.507.351
2011 22 6.446.537
2010 22 6.402.024
2009 21 6.343.154
2008 21 6.280.362
2007 21 6.167.681
2006 20 6.029.141
2005 20 5.839.077
2004 19 5.652.404
2003 19 5.510.364
2002 18 5.396.255
2001 18 5.273.477
2000 17 5.160.586
1999 17 5.023.823
1998 17 4.883.342
1997 16 4.736.990
1996 16 4.586.940
1995 15 4.432.499
1994 14 4.245.089
1993 14 4.065.440
1992 13 3.915.740
1991 13 3.788.576
1990 12 3.684.097
1989 12 3.622.184
1988 12 3.535.183
1987 12 3.437.103
1986 11 3.308.261
1985 11 3.183.539
1984 10 3.067.134
1983 10 2.968.924
1982 10 2.889.860
1981 10 2.810.108
1980 9 2.737.774
1979 9 2.638.582
1978 9 2.517.852
1977 8 2.427.310
1976 8 2.347.976
1975 8 2.286.348
1974 8 2.224.342
1973 7 2.125.281
1972 7 2.008.847
1971 6 1.896.108
1970 6 1.794.912
1969 6 1.737.000
1968 6 1.682.000
1967 6 1.646.000
1966 5 1.614.000
1965 5 1.584.000
1964 5 1.556.000
1963 5 1.521.000
1962 5 1.471.000
1961 5 1.407.000
1960 4 1.321.000
1959 4 1.261.000
1958 4 1.193.000
1957 4 1.125.000
1956 4 1.053.000
1955 3 987.000
1954 3 933.000
1953 3 894.000
1952 3 842.000
1951 3 785.000
1950 3 756.000
1949 2 714.000
1948 2 690.000
1947 2 652.000
1946 2 618.000
1945 2 591.000
1944 2 618.000
1943 2 661.000
1942 2 530.000
1941 2 492.000
1940 2 499.000
1939 2 484.000
1938 2 466.000
1937 2 453.000
1936 2 443.000
1935 1 434.000
1934 1 428.000
1933 1 426.000
1932 1 426.000
1931 1 429.000
1930 1 434.000
1929 1 430.000
Arizona - Población
