Ver además>
Riesgo de pobreza
California - Población
Fecha Densidad Población
2023 92 38.965.193
2022 92 39.040.616
2021 92 39.145.060
2020 93 39.503.200
2019 93 39.547.996
2018 93 39.535.906
2017 93 39.424.071
2016 93 39.223.210
2015 92 38.966.055
2014 91 38.636.290
2013 90 38.291.358
2012 90 37.970.368
2011 89 37.650.514
2010 88 37.322.360
2009 87 36.961.229
2008 86 36.604.337
2007 86 36.250.311
2006 85 36.021.202
2005 85 35.827.943
2004 84 35.574.576
2003 83 35.253.159
2002 82 34.871.843
2001 81 34.479.458
2000 80 33.987.977
1999 79 33.499.204
1998 78 32.987.675
1997 77 32.486.010
1996 76 32.018.834
1995 75 31.696.582
1994 74 31.484.435
1993 74 31.274.928
1992 73 30.974.659
1991 72 30.470.736
1990 71 29.959.515
1989 69 29.218.165
1988 67 28.464.250
1987 66 27.777.160
1986 64 27.102.238
1985 62 26.441.107
1984 61 25.844.397
1983 60 25.360.023
1982 59 24.820.007
1981 57 24.285.933
1980 56 23.800.800
1979 55 23.255.069
1978 54 22.838.960
1977 53 22.350.247
1976 52 21.934.505
1975 51 21.536.715
1974 50 21.172.548
1973 49 20.867.737
1972 49 20.584.794
1971 48 20.345.575
1970 47 20.023.181
1969 46 19.711.000
1968 46 19.394.000
1967 45 19.176.000
1966 44 18.858.000
1965 44 18.585.000
1964 43 18.151.000
1963 42 17.668.000
1962 40 17.072.000
1961 39 16.497.000
1960 37 15.870.000
1959 36 15.467.000
1958 35 14.880.000
1957 34 14.264.000
1956 32 13.713.000
1955 31 13.133.000
1954 30 12.746.000
1953 29 12.251.000
1952 27 11.635.000
1951 26 11.134.000
1950 25 10.677.000
1949 24 10.337.000
1948 24 10.064.000
1947 23 9.912.000
1946 23 9.727.000
1945 23 9.619.000
1944 22 9.261.000
1943 20 8.623.000
1942 18 7.814.000
1941 17 7.269.000
1940 16 6.950.000
1939 16 6.785.000
1938 16 6.656.000
1937 15 6.528.000
1936 15 6.341.000
1935 15 6.175.000
1934 14 6.060.000
1933 14 5.963.000
1932 14 5.894.000
1931 14 5.824.000
1930 13 5.711.000
1929 13 5.531.000
California - Población
