Ver además>
Riesgo de pobreza
Colorado - Población
Fecha Densidad Población
2023 22 5.877.610
2022 22 5.841.039
2021 22 5.811.596
2020 21 5.785.219
2019 21 5.735.934
2018 21 5.677.250
2017 21 5.600.169
2016 21 5.529.161
2015 20 5.442.196
2014 20 5.342.996
2013 20 5.263.512
2012 19 5.188.703
2011 19 5.119.188
2010 19 5.047.005
2009 18 4.972.195
2008 18 4.889.730
2007 18 4.803.868
2006 18 4.720.423
2005 17 4.631.888
2004 17 4.575.013
2003 17 4.528.732
2002 17 4.490.406
2001 16 4.425.687
2000 16 4.326.921
1999 16 4.226.018
1998 15 4.116.639
1997 15 4.018.293
1996 15 3.919.972
1995 14 3.826.653
1994 14 3.724.168
1993 13 3.613.734
1992 13 3.495.939
1991 13 3.387.119
1990 12 3.307.618
1989 12 3.275.815
1988 12 3.262.280
1987 12 3.260.477
1986 12 3.237.448
1985 12 3.208.726
1984 12 3.169.995
1983 12 3.133.634
1982 11 3.061.562
1981 11 2.977.899
1980 11 2.908.803
1979 11 2.849.181
1978 10 2.766.725
1977 10 2.696.007
1976 10 2.632.244
1975 10 2.586.144
1974 9 2.541.318
1973 9 2.495.803
1972 9 2.404.576
1971 9 2.303.502
1970 8 2.223.979
1969 8 2.166.000
1968 8 2.120.000
1967 8 2.053.000
1966 7 2.007.000
1965 7 1.985.000
1964 7 1.970.000
1963 7 1.936.000
1962 7 1.899.000
1961 7 1.844.000
1960 7 1.769.000
1959 6 1.710.000
1958 6 1.667.000
1957 6 1.664.000
1956 6 1.625.000
1955 6 1.546.000
1954 6 1.493.000
1953 5 1.431.000
1952 5 1.365.000
1951 5 1.326.000
1950 5 1.325.000
1949 5 1.295.000
1948 5 1.263.000
1947 5 1.236.000
1946 4 1.196.000
1945 4 1.113.000
1944 4 1.124.000
1943 4 1.151.000
1942 4 1.133.000
1941 4 1.124.000
1940 4 1.130.000
1939 4 1.120.000
1938 4 1.112.000
1937 4 1.104.000
1936 4 1.090.000
1935 4 1.078.000
1934 4 1.075.000
1933 4 1.071.000
1932 4 1.066.000
1931 4 1.056.000
1930 4 1.040.000
1929 4 1.008.000
Colorado - Población
