Ver además>
Riesgo de pobreza
Connecticut - Población
Fecha Densidad Población
2023 252 3.617.176
2022 251 3.608.706
2021 251 3.603.691
2020 249 3.577.586
2019 251 3.607.159
2018 252 3.611.318
2017 251 3.607.615
2016 251 3.607.688
2015 252 3.611.995
2014 252 3.614.695
2013 251 3.610.314
2012 251 3.605.259
2011 250 3.594.193
2010 249 3.580.279
2009 248 3.561.807
2008 247 3.545.579
2007 246 3.527.270
2006 245 3.517.460
2005 244 3.506.956
2004 244 3.496.094
2003 243 3.484.336
2002 241 3.458.749
2001 239 3.432.835
2000 238 3.411.777
1999 236 3.386.401
1998 234 3.365.352
1997 233 3.349.348
1996 232 3.336.685
1995 232 3.324.144
1994 231 3.316.121
1993 230 3.309.175
1992 230 3.300.712
1991 230 3.302.895
1990 229 3.291.967
1989 229 3.283.404
1988 228 3.271.954
1987 226 3.247.290
1986 225 3.223.741
1985 223 3.201.131
1984 221 3.180.014
1983 220 3.162.355
1982 219 3.139.014
1981 218 3.128.837
1980 217 3.113.174
1979 216 3.099.907
1978 216 3.094.839
1977 215 3.088.729
1976 215 3.085.984
1975 215 3.084.726
1974 214 3.075.784
1973 214 3.069.140
1972 214 3.069.617
1971 213 3.061.448
1970 212 3.038.782
1969 209 3.000.000
1968 206 2.964.000
1967 204 2.935.000
1966 202 2.903.000
1965 199 2.857.000
1964 195 2.798.000
1963 190 2.727.000
1962 184 2.647.000
1961 180 2.586.000
1960 177 2.544.000
1959 176 2.523.000
1958 170 2.446.000
1957 164 2.359.000
1956 161 2.316.000
1955 160 2.300.000
1954 157 2.249.000
1953 151 2.168.000
1952 145 2.081.000
1951 141 2.028.000
1950 140 2.016.000
1949 142 2.032.000
1948 140 2.014.000
1947 137 1.969.000
1946 133 1.911.000
1945 124 1.782.000
1944 125 1.801.000
1943 125 1.797.000
1942 125 1.798.000
1941 122 1.751.000
1940 119 1.708.000
1939 118 1.696.000
1938 117 1.684.000
1937 117 1.678.000
1936 116 1.672.000
1935 116 1.666.000
1934 115 1.650.000
1933 114 1.642.000
1932 114 1.637.000
1931 113 1.628.000
1930 112 1.613.000
1929 111 1.594.000
Connecticut - Población
