Ver además>
Riesgo de pobreza
Delaware - Población
Fecha Densidad Población
2023 160 1.031.890
2022 158 1.019.459
2021 156 1.004.881
2020 154 991.862
2019 152 981.297
2018 151 971.072
2017 149 961.499
2016 148 953.030
2015 147 944.596
2014 145 935.160
2013 144 925.599
2012 142 916.572
2011 141 908.169
2010 140 899.762
2009 138 891.730
2008 137 883.874
2007 135 871.749
2006 133 859.268
2005 131 845.150
2004 129 830.803
2003 127 818.003
2002 125 806.169
2001 123 795.699
2000 122 786.373
1999 120 774.990
1998 118 763.335
1997 117 751.487
1996 115 740.977
1995 113 729.734
1994 111 717.545
1993 110 706.378
1992 108 694.925
1991 106 683.080
1990 104 669.567
1989 102 658.274
1988 100 647.621
1987 99 636.946
1986 97 627.559
1985 96 618.279
1984 95 611.565
1983 94 605.459
1982 93 599.148
1981 92 595.974
1980 92 594.919
1979 93 598.830
1978 93 598.188
1977 92 594.821
1976 92 592.755
1975 91 588.756
1974 90 583.150
1973 90 579.078
1972 89 573.821
1971 88 565.207
1970 85 550.332
1969 84 540.000
1968 83 534.000
1967 81 525.000
1966 80 516.000
1965 79 507.000
1964 77 497.000
1963 75 483.000
1962 73 469.000
1961 72 461.000
1960 70 449.000
1959 68 441.000
1958 67 433.000
1957 66 426.000
1956 63 408.000
1955 60 389.000
1954 57 368.000
1953 54 351.000
1952 53 341.000
1951 51 331.000
1950 50 321.000
1949 49 316.000
1948 48 312.000
1947 47 306.000
1946 47 300.000
1945 44 286.000
1944 44 286.000
1943 44 281.000
1942 44 281.000
1941 43 276.000
1940 42 269.000
1939 41 263.000
1938 40 257.000
1937 39 254.000
1936 39 253.000
1935 39 252.000
1934 39 250.000
1933 38 248.000
1932 38 245.000
1931 38 242.000
1930 37 239.000
1929 37 236.000
Delaware - Población
