Ver además>
Riesgo de pobreza
Florida - Población
Fecha Densidad Población
2023 133 22.610.726
2022 131 22.245.521
2021 128 21.830.708
2020 127 21.591.299
2019 125 21.354.519
2018 124 21.133.562
2017 123 20.871.785
2016 121 20.537.931
2015 118 20.145.580
2014 116 19.795.405
2013 115 19.507.621
2012 113 19.271.885
2011 112 19.039.100
2010 111 18.842.884
2009 110 18.652.644
2008 109 18.527.305
2007 108 18.367.842
2006 107 18.166.990
2005 105 17.842.038
2004 102 17.415.318
2003 100 17.004.085
2002 98 16.689.370
2001 96 16.356.966
2000 94 16.047.515
1999 93 15.759.421
1998 91 15.486.559
1997 89 15.186.304
1996 87 14.853.360
1995 85 14.537.875
1994 84 14.239.444
1993 82 13.927.185
1992 80 13.650.553
1991 79 13.369.798
1990 77 13.033.307
1989 74 12.637.718
1988 72 12.306.400
1987 70 11.997.282
1986 69 11.667.503
1985 67 11.351.120
1984 65 11.039.925
1983 63 10.749.849
1982 61 10.471.405
1981 60 10.192.775
1980 58 9.839.835
1979 56 9.470.585
1978 54 9.131.554
1977 52 8.888.958
1976 51 8.695.356
1975 50 8.541.660
1974 49 8.317.034
1973 47 7.927.099
1972 44 7.520.324
1971 42 7.163.026
1970 40 6.845.353
1969 39 6.641.000
1968 38 6.433.000
1967 37 6.242.000
1966 36 6.104.000
1965 35 5.954.000
1964 34 5.781.000
1963 33 5.628.000
1962 32 5.458.000
1961 31 5.243.000
1960 29 5.004.000
1959 28 4.808.000
1958 27 4.630.000
1957 26 4.372.000
1956 24 4.047.000
1955 22 3.747.000
1954 21 3.505.000
1953 19 3.310.000
1952 19 3.157.000
1951 17 2.980.000
1950 16 2.810.000
1949 16 2.668.000
1948 15 2.578.000
1947 15 2.539.000
1946 15 2.473.000
1945 15 2.515.000
1944 15 2.542.000
1943 15 2.497.000
1942 13 2.190.000
1941 12 2.028.000
1940 11 1.915.000
1939 11 1.836.000
1938 10 1.771.000
1937 10 1.709.000
1936 10 1.651.000
1935 9 1.613.000
1934 9 1.585.000
1933 9 1.552.000
1932 9 1.521.000
1931 9 1.493.000
1930 9 1.471.000
1929 8 1.445.000
Florida - Población
