Ver además>
Riesgo de pobreza
Georgia - Población
Fecha Densidad Población
2023 72 11.029.227
2022 71 10.913.150
2021 70 10.790.385
2020 70 10.732.390
2019 69 10.642.947
2018 68 10.532.566
2017 68 10.428.498
2016 67 10.318.225
2015 66 10.191.467
2014 65 10.077.700
2013 65 9.980.513
2012 64 9.906.963
2011 64 9.805.488
2010 63 9.712.576
2009 63 9.620.846
2008 62 9.504.843
2007 61 9.349.988
2006 59 9.155.813
2005 58 8.925.922
2004 57 8.769.252
2003 56 8.622.793
2002 55 8.508.256
2001 54 8.377.038
2000 53 8.227.303
1999 52 8.045.965
1998 51 7.863.536
1997 50 7.685.099
1996 49 7.501.069
1995 48 7.328.413
1994 47 7.157.165
1993 45 6.978.240
1992 44 6.817.203
1991 43 6.653.005
1990 42 6.512.602
1989 42 6.411.117
1988 41 6.316.139
1987 40 6.208.479
1986 40 6.084.645
1985 39 5.962.639
1984 38 5.834.943
1983 37 5.728.248
1982 37 5.649.788
1981 36 5.568.346
1980 36 5.486.174
1979 35 5.391.265
1978 34 5.286.148
1977 34 5.211.771
1976 33 5.126.155
1975 33 5.058.535
1974 32 4.994.870
1973 32 4.906.940
1972 31 4.807.151
1971 31 4.710.272
1970 30 4.605.421
1969 30 4.551.000
1968 29 4.482.000
1967 29 4.408.000
1966 28 4.379.000
1965 28 4.332.000
1964 28 4.258.000
1963 27 4.172.000
1962 27 4.086.000
1961 26 4.015.000
1960 26 3.956.000
1959 25 3.868.000
1958 25 3.804.000
1957 24 3.766.000
1956 24 3.701.000
1955 24 3.636.000
1954 23 3.602.000
1953 23 3.558.000
1952 23 3.584.000
1951 23 3.531.000
1950 22 3.458.000
1949 22 3.325.000
1948 21 3.259.000
1947 21 3.271.000
1946 21 3.251.000
1945 20 3.089.000
1944 21 3.161.000
1943 21 3.245.000
1942 21 3.215.000
1941 21 3.186.000
1940 20 3.119.000
1939 20 3.120.000
1938 20 3.091.000
1937 20 3.037.000
1936 19 2.978.000
1935 19 2.955.000
1934 19 2.964.000
1933 19 2.950.000
1932 19 2.935.000
1931 19 2.924.000
1930 19 2.910.000
1929 19 2.903.000
Georgia - Población
