Ver además>
Riesgo de pobreza
Idaho - Población
Fecha Densidad Población
2023 9 1.964.726
2022 9 1.938.996
2021 9 1.904.537
2020 9 1.849.339
2019 8 1.808.039
2018 8 1.768.643
2017 8 1.734.030
2016 8 1.696.089
2015 8 1.662.421
2014 8 1.640.181
2013 7 1.618.042
2012 7 1.600.013
2011 7 1.586.530
2010 7 1.571.266
2009 7 1.554.439
2008 7 1.534.320
2007 7 1.505.105
2006 7 1.468.669
2005 7 1.428.241
2004 6 1.391.802
2003 6 1.363.380
2002 6 1.340.372
2001 6 1.319.962
2000 6 1.299.430
1999 6 1.275.674
1998 6 1.252.330
1997 6 1.228.520
1996 6 1.203.083
1995 5 1.177.322
1994 5 1.145.140
1993 5 1.108.768
1992 5 1.071.685
1991 5 1.041.316
1990 5 1.012.384
1989 5 994.422
1988 5 985.661
1987 5 984.997
1986 5 990.222
1985 5 994.052
1984 5 990.841
1983 5 981.866
1982 4 973.719
1981 4 962.204
1980 4 947.983
1979 4 932.636
1978 4 910.962
1977 4 883.446
1976 4 856.979
1975 4 831.981
1974 4 807.973
1973 4 782.061
1972 4 763.229
1971 3 738.749
1970 3 717.255
1969 3 707.000
1968 3 695.000
1967 3 688.000
1966 3 689.000
1965 3 686.000
1964 3 680.000
1963 3 683.000
1962 3 692.000
1961 3 684.000
1960 3 671.000
1959 3 657.000
1958 3 646.000
1957 3 642.000
1956 3 628.000
1955 3 618.000
1954 3 600.000
1953 3 596.000
1952 3 587.000
1951 3 589.000
1950 3 590.000
1949 3 570.000
1948 3 551.000
1947 2 522.000
1946 2 509.000
1945 2 490.000
1944 2 514.000
1943 2 499.000
1942 2 481.000
1941 2 502.000
1940 2 522.000
1939 2 521.000
1938 2 513.000
1937 2 507.000
1936 2 495.000
1935 2 481.000
1934 2 473.000
1933 2 464.000
1932 2 459.000
1931 2 454.000
1930 2 447.000
1929 2 447.000
Idaho - Población
