Ver además>
Riesgo de pobreza
Illinois - Población
Fecha Densidad Población
2023 84 12.549.689
2022 84 12.582.515
2021 85 12.690.341
2020 85 12.790.357
2019 86 12.850.150
2018 86 12.888.646
2017 86 12.924.504
2016 86 12.946.698
2015 86 12.964.764
2014 86 12.970.348
2013 86 12.960.987
2012 86 12.928.106
2011 86 12.892.740
2010 86 12.845.511
2009 85 12.796.778
2008 85 12.747.038
2007 85 12.695.866
2006 84 12.643.955
2005 84 12.609.903
2004 84 12.589.773
2003 84 12.556.006
2002 84 12.525.556
2001 83 12.488.445
2000 83 12.434.161
1999 82 12.359.020
1998 82 12.271.847
1997 81 12.185.715
1996 81 12.101.997
1995 80 12.008.437
1994 79 11.912.585
1993 79 11.809.579
1992 78 11.694.184
1991 77 11.568.964
1990 76 11.453.316
1989 76 11.409.782
1988 76 11.390.186
1987 76 11.391.176
1986 76 11.387.256
1985 76 11.399.803
1984 76 11.412.128
1983 76 11.408.817
1982 76 11.423.413
1981 76 11.443.461
1980 76 11.434.702
1979 76 11.422.782
1978 76 11.434.421
1977 76 11.406.312
1976 76 11.360.274
1975 75 11.306.351
1974 75 11.273.745
1973 75 11.260.248
1972 75 11.258.111
1971 75 11.205.816
1970 74 11.124.681
1969 74 11.039.000
1968 73 10.995.000
1967 73 10.947.000
1966 72 10.836.000
1965 71 10.693.000
1964 71 10.580.000
1963 69 10.402.000
1962 69 10.280.000
1961 68 10.130.000
1960 67 10.086.000
1959 67 9.986.000
1958 66 9.886.000
1957 64 9.668.000
1956 64 9.530.000
1955 63 9.435.000
1954 62 9.252.000
1953 60 9.065.000
1952 60 8.956.000
1951 59 8.790.000
1950 58 8.738.000
1949 58 8.670.000
1948 57 8.552.000
1947 56 8.344.000
1946 54 8.164.000
1945 51 7.612.000
1944 51 7.718.000
1943 52 7.765.000
1942 54 8.054.000
1941 53 7.995.000
1940 53 7.905.000
1939 53 7.890.000
1938 52 7.866.000
1937 52 7.857.000
1936 52 7.840.000
1935 52 7.797.000
1934 52 7.772.000
1933 52 7.768.000
1932 52 7.736.000
1931 51 7.687.000
1930 51 7.644.000
1929 51 7.606.000
Illinois - Población
