Ver además>
Riesgo de pobreza
Iowa - Población
Fecha Densidad Población
2023 22 3.207.004
2022 22 3.199.693
2021 22 3.197.944
2020 22 3.190.904
2019 22 3.183.831
2018 22 3.171.441
2017 22 3.162.621
2016 22 3.149.432
2015 22 3.136.111
2014 21 3.121.583
2013 21 3.102.253
2012 21 3.082.570
2011 21 3.069.937
2010 21 3.051.447
2009 21 3.032.870
2008 21 3.016.734
2007 21 2.999.212
2006 20 2.982.644
2005 20 2.964.454
2004 20 2.953.635
2003 20 2.941.999
2002 20 2.934.234
2001 20 2.931.997
2000 20 2.929.067
1999 20 2.917.634
1998 20 2.902.872
1997 20 2.891.119
1996 20 2.880.000
1995 20 2.867.373
1994 20 2.850.746
1993 19 2.836.972
1992 19 2.818.401
1991 19 2.797.613
1990 19 2.781.018
1989 19 2.770.590
1988 19 2.768.393
1987 19 2.767.006
1986 19 2.791.969
1985 19 2.829.684
1984 20 2.858.615
1983 20 2.870.547
1982 20 2.888.190
1981 20 2.907.985
1980 20 2.914.018
1979 20 2.916.803
1978 20 2.919.008
1977 20 2.914.308
1976 20 2.903.770
1975 20 2.881.425
1974 20 2.867.941
1973 20 2.864.031
1972 20 2.860.506
1971 20 2.851.828
1970 19 2.828.534
1969 19 2.805.000
1968 19 2.803.000
1967 19 2.793.000
1966 19 2.762.000
1965 19 2.742.000
1964 19 2.746.000
1963 19 2.747.000
1962 19 2.750.000
1961 19 2.756.000
1960 19 2.756.000
1959 19 2.729.000
1958 19 2.708.000
1957 19 2.716.000
1956 19 2.703.000
1955 18 2.679.000
1954 18 2.626.000
1953 18 2.629.000
1952 18 2.626.000
1951 18 2.617.000
1950 18 2.625.000
1949 18 2.578.000
1948 17 2.543.000
1947 17 2.509.000
1946 17 2.467.000
1945 16 2.301.000
1944 16 2.294.000
1943 16 2.332.000
1942 17 2.441.000
1941 17 2.491.000
1940 17 2.537.000
1939 17 2.520.000
1938 17 2.494.000
1937 17 2.498.000
1936 17 2.509.000
1935 17 2.524.000
1934 17 2.510.000
1933 17 2.495.000
1932 17 2.489.000
1931 17 2.482.000
1930 17 2.475.000
1929 17 2.460.000
Iowa - Población
