Ver además>
Riesgo de pobreza
Kentucky - Población
Fecha Densidad Población
2023 43 4.526.154
2022 43 4.511.563
2021 43 4.507.600
2020 43 4.508.155
2019 43 4.498.141
2018 43 4.487.233
2017 43 4.475.723
2016 43 4.457.599
2015 42 4.443.606
2014 42 4.428.679
2013 42 4.415.821
2012 42 4.394.010
2011 42 4.374.212
2010 42 4.349.138
2009 41 4.317.074
2008 41 4.289.878
2007 41 4.256.672
2006 40 4.219.239
2005 40 4.182.742
2004 40 4.146.101
2003 39 4.117.170
2002 39 4.089.875
2001 39 4.068.132
2000 39 4.049.021
1999 38 4.018.053
1998 38 3.985.390
1997 38 3.952.747
1996 37 3.919.535
1995 37 3.887.427
1994 37 3.849.088
1993 36 3.812.206
1992 36 3.765.469
1991 36 3.722.328
1990 35 3.694.048
1989 35 3.677.318
1988 35 3.680.002
1987 35 3.683.330
1986 35 3.687.805
1985 35 3.694.816
1984 35 3.695.459
1983 35 3.694.469
1982 35 3.683.449
1981 35 3.670.395
1980 35 3.664.221
1979 35 3.643.655
1978 35 3.611.382
1977 34 3.575.001
1976 34 3.530.443
1975 33 3.468.755
1974 33 3.417.039
1973 32 3.371.573
1972 32 3.336.106
1971 32 3.298.262
1970 31 3.230.587
1969 31 3.198.000
1968 31 3.195.000
1967 30 3.172.000
1966 30 3.147.000
1965 30 3.140.000
1964 30 3.129.000
1963 30 3.096.000
1962 29 3.079.000
1961 29 3.054.000
1960 29 3.041.000
1959 29 2.999.000
1958 28 2.961.000
1957 28 2.928.000
1956 28 2.898.000
1955 28 2.910.000
1954 28 2.902.000
1953 28 2.903.000
1952 28 2.920.000
1951 28 2.941.000
1950 28 2.936.000
1949 27 2.849.000
1948 27 2.817.000
1947 27 2.802.000
1946 26 2.757.000
1945 25 2.604.000
1944 25 2.616.000
1943 26 2.690.000
1942 27 2.809.000
1941 27 2.851.000
1940 27 2.859.000
1939 27 2.825.000
1938 27 2.800.000
1937 27 2.784.000
1936 26 2.768.000
1935 26 2.748.000
1934 26 2.722.000
1933 26 2.698.000
1932 26 2.676.000
1931 25 2.652.000
1930 25 2.623.000
1929 25 2.606.000
Kentucky - Población
