Ver además>
Riesgo de pobreza
Luisiana - Población
Fecha Densidad Población
2023 34 4.573.749
2022 34 4.588.023
2021 34 4.627.047
2020 34 4.652.022
2019 34 4.664.558
2018 34 4.670.052
2017 34 4.678.606
2016 35 4.685.605
2015 34 4.670.563
2014 34 4.648.811
2013 34 4.628.228
2012 34 4.603.574
2011 34 4.577.075
2010 34 4.544.800
2009 33 4.491.648
2008 33 4.435.586
2007 32 4.375.581
2006 32 4.302.665
2005 34 4.576.628
2004 34 4.552.238
2003 33 4.521.042
2002 33 4.497.267
2001 33 4.477.875
2000 33 4.471.885
1999 33 4.460.811
1998 33 4.440.344
1997 33 4.421.071
1996 32 4.398.877
1995 32 4.378.779
1994 32 4.347.481
1993 32 4.316.428
1992 32 4.293.003
1991 31 4.253.279
1990 31 4.221.532
1989 31 4.252.896
1988 32 4.288.859
1987 32 4.344.151
1986 32 4.406.922
1985 32 4.408.113
1984 32 4.400.474
1983 32 4.395.311
1982 32 4.352.609
1981 32 4.283.297
1980 31 4.223.101
1979 31 4.139.316
1978 30 4.073.288
1977 30 4.015.582
1976 29 3.951.636
1975 29 3.886.963
1974 28 3.820.720
1973 28 3.788.840
1972 28 3.761.967
1971 27 3.710.666
1970 27 3.650.209
1969 27 3.619.000
1968 27 3.603.000
1967 26 3.581.000
1966 26 3.550.000
1965 26 3.496.000
1964 25 3.446.000
1963 25 3.377.000
1962 25 3.345.000
1961 24 3.287.000
1960 24 3.260.000
1959 24 3.208.000
1958 23 3.155.000
1957 23 3.115.000
1956 22 3.032.000
1955 22 2.946.000
1954 21 2.883.000
1953 21 2.866.000
1952 21 2.842.000
1951 20 2.769.000
1950 20 2.697.000
1949 19 2.634.000
1948 19 2.596.000
1947 19 2.579.000
1946 19 2.540.000
1945 18 2.413.000
1944 18 2.479.000
1943 19 2.560.000
1942 19 2.541.000
1941 18 2.500.000
1940 17 2.370.000
1939 17 2.334.000
1938 17 2.285.000
1937 17 2.257.000
1936 17 2.246.000
1935 16 2.228.000
1934 16 2.202.000
1933 16 2.178.000
1932 16 2.155.000
1931 16 2.124.000
1930 16 2.105.000
1929 15 2.086.000
Luisiana - Población
