Ver además>
Riesgo de pobreza
Minnesota - Población
Fecha Densidad Población
2023 25 5.737.915
2022 25 5.714.300
2021 25 5.717.968
2020 25 5.710.578
2019 25 5.686.733
2018 25 5.650.149
2017 25 5.605.384
2016 25 5.556.226
2015 24 5.509.714
2014 24 5.473.353
2013 24 5.430.428
2012 24 5.388.297
2011 24 5.352.572
2010 24 5.312.113
2009 23 5.281.203
2008 23 5.247.018
2007 23 5.207.203
2006 23 5.163.555
2005 23 5.119.598
2004 23 5.087.713
2003 22 5.053.572
2002 22 5.018.935
2001 22 4.982.796
2000 22 4.933.692
1999 22 4.873.481
1998 21 4.813.412
1997 21 4.763.390
1996 21 4.712.827
1995 21 4.660.180
1994 20 4.610.355
1993 20 4.555.954
1992 20 4.495.572
1991 20 4.440.859
1990 19 4.389.857
1989 19 4.338.056
1988 19 4.296.163
1987 19 4.235.136
1986 19 4.205.213
1985 19 4.184.301
1984 18 4.157.704
1983 18 4.141.458
1982 18 4.131.450
1981 18 4.111.733
1980 18 4.085.017
1979 18 4.038.150
1978 18 4.004.676
1977 18 3.979.844
1976 18 3.956.602
1975 17 3.925.793
1974 17 3.898.450
1973 17 3.885.164
1972 17 3.866.878
1971 17 3.851.901
1970 17 3.815.249
1969 17 3.758.000
1968 16 3.703.000
1967 16 3.659.000
1966 16 3.617.000
1965 16 3.592.000
1964 16 3.558.000
1963 16 3.531.000
1962 16 3.513.000
1961 15 3.470.000
1960 15 3.425.000
1959 15 3.366.000
1958 15 3.313.000
1957 15 3.274.000
1956 14 3.240.000
1955 14 3.172.000
1954 14 3.113.000
1953 14 3.050.000
1952 13 3.030.000
1951 13 3.010.000
1950 13 2.997.000
1949 13 2.935.000
1948 13 2.868.000
1947 12 2.796.000
1946 12 2.737.000
1945 11 2.534.000
1944 11 2.523.000
1943 11 2.572.000
1942 12 2.662.000
1941 12 2.719.000
1940 12 2.790.000
1939 12 2.771.000
1938 12 2.753.000
1937 12 2.746.000
1936 12 2.734.000
1935 12 2.717.000
1934 12 2.695.000
1933 12 2.673.000
1932 12 2.646.000
1931 12 2.614.000
1930 11 2.576.000
1929 11 2.572.000
Minnesota - Población
