Ver además>
Riesgo de pobreza
Misuri - Población
Fecha Densidad Población
2023 34 6.196.156
2022 34 6.177.168
2021 34 6.170.393
2020 34 6.154.426
2019 34 6.143.406
2018 34 6.128.594
2017 34 6.113.669
2016 34 6.093.349
2015 34 6.077.057
2014 34 6.060.459
2013 33 6.044.003
2012 33 6.026.727
2011 33 6.011.569
2010 33 5.996.166
2009 33 5.961.088
2008 33 5.923.916
2007 33 5.887.612
2006 32 5.842.704
2005 32 5.790.300
2004 32 5.747.741
2003 32 5.709.403
2002 31 5.674.825
2001 31 5.641.142
2000 31 5.607.285
1999 31 5.561.948
1998 31 5.521.765
1997 30 5.481.193
1996 30 5.431.553
1995 30 5.378.247
1994 29 5.324.497
1993 29 5.271.175
1992 29 5.217.101
1991 29 5.170.800
1990 28 5.128.880
1989 28 5.095.844
1988 28 5.081.737
1987 28 5.056.702
1986 28 5.023.055
1985 28 5.000.260
1984 28 4.975.276
1983 27 4.943.735
1982 27 4.929.456
1981 27 4.932.069
1980 27 4.921.966
1979 27 4.889.327
1978 27 4.871.171
1977 27 4.845.042
1976 27 4.823.554
1975 27 4.795.383
1974 27 4.785.391
1973 26 4.774.601
1972 26 4.753.234
1971 26 4.722.703
1970 26 4.684.768
1969 26 4.640.000
1968 25 4.568.000
1967 25 4.539.000
1966 25 4.523.000
1965 25 4.467.000
1964 25 4.442.000
1963 24 4.392.000
1962 24 4.357.000
1961 24 4.349.000
1960 24 4.326.000
1959 24 4.258.000
1958 23 4.186.000
1957 23 4.189.000
1956 23 4.163.000
1955 23 4.134.000
1954 23 4.066.000
1953 22 4.020.000
1952 22 3.972.000
1951 22 4.015.000
1950 22 3.964.000
1949 22 3.882.000
1948 21 3.844.000
1947 21 3.846.000
1946 21 3.759.000
1945 19 3.513.000
1944 20 3.556.000
1943 20 3.694.000
1942 21 3.829.000
1941 21 3.815.000
1940 21 3.786.000
1939 21 3.783.000
1938 21 3.781.000
1937 21 3.794.000
1936 21 3.801.000
1935 21 3.798.000
1934 21 3.784.000
1933 21 3.773.000
1932 21 3.746.000
1931 21 3.711.000
1930 20 3.646.000
1929 20 3.622.000
Misuri - Población
