Ver además>
Riesgo de pobreza
Nevada - Población
Fecha Densidad Población
2023 11 3.194.176
2022 11 3.177.421
2021 11 3.146.632
2020 11 3.115.840
2019 11 3.068.943
2018 11 3.011.627
2017 10 2.955.631
2016 10 2.905.604
2015 10 2.857.017
2014 10 2.809.771
2013 10 2.770.049
2012 10 2.739.941
2011 9 2.710.520
2010 9 2.701.967
2009 9 2.684.665
2008 9 2.653.630
2007 9 2.601.072
2006 9 2.522.658
2005 8 2.432.143
2004 8 2.346.222
2003 8 2.248.850
2002 8 2.173.791
2001 7 2.098.399
2000 7 2.018.741
1999 7 1.934.718
1998 6 1.853.191
1997 6 1.764.104
1996 6 1.666.320
1995 6 1.581.578
1994 5 1.499.298
1993 5 1.411.215
1992 5 1.351.367
1991 5 1.296.171
1990 4 1.220.695
1989 4 1.137.382
1988 4 1.075.023
1987 4 1.023.374
1986 3 980.614
1985 3 951.032
1984 3 924.921
1983 3 901.978
1982 3 881.538
1981 3 847.656
1980 3 810.215
1979 3 765.121
1978 3 719.345
1977 2 678.134
1976 2 646.823
1975 2 619.847
1974 2 596.713
1973 2 568.910
1972 2 546.736
1971 2 519.989
1970 2 493.223
1969 2 480.000
1968 2 464.000
1967 2 449.000
1966 2 446.000
1965 2 444.000
1964 1 426.000
1963 1 397.000
1962 1 352.000
1961 1 315.000
1960 1 291.000
1959 1 279.000
1958 1 269.000
1957 1 260.000
1956 1 250.000
1955 1 237.000
1954 1 213.000
1953 1 195.000
1952 1 181.000
1951 1 168.000
1950 1 162.000
1949 1 157.000
1948 1 156.000
1947 1 149.000
1946 1 145.000
1945 1 147.000
1944 1 155.000
1943 1 152.000
1942 0 139.000
1941 0 122.000
1940 0 113.000
1939 0 107.000
1938 0 105.000
1937 0 103.000
1936 0 101.000
1935 0 100.000
1934 0 98.000
1933 0 96.000
1932 0 96.000
1931 0 94.000
1930 0 92.000
1929 0 90.000
Nevada - Población
