Ver además>
Riesgo de pobreza
Ohio - Población
Fecha Densidad Población
2023 102 11.785.935
2022 101 11.759.697
2021 101 11.765.227
2020 102 11.798.292
2019 102 11.788.547
2018 101 11.762.842
2017 101 11.737.605
2016 101 11.701.886
2015 101 11.674.128
2014 100 11.648.446
2013 100 11.611.630
2012 100 11.573.024
2011 100 11.557.958
2010 99 11.541.886
2009 99 11.528.896
2008 99 11.515.391
2007 99 11.500.468
2006 99 11.481.213
2005 99 11.463.320
2004 99 11.452.251
2003 98 11.434.788
2002 98 11.407.889
2001 98 11.387.404
2000 98 11.363.543
1999 98 11.335.454
1998 97 11.311.536
1997 97 11.277.357
1996 97 11.242.827
1995 96 11.202.751
1994 96 11.152.454
1993 96 11.101.140
1992 95 11.029.431
1991 94 10.945.762
1990 94 10.864.162
1989 93 10.829.216
1988 93 10.798.554
1987 93 10.760.081
1986 92 10.730.272
1985 92 10.734.926
1984 92 10.737.743
1983 92 10.737.631
1982 93 10.757.085
1981 93 10.788.336
1980 93 10.800.650
1979 93 10.798.562
1978 93 10.795.431
1977 93 10.771.232
1976 93 10.752.731
1975 93 10.770.498
1974 93 10.765.613
1973 93 10.767.205
1972 93 10.746.920
1971 92 10.734.782
1970 92 10.668.839
1969 91 10.563.000
1968 91 10.516.000
1967 90 10.414.000
1966 89 10.330.000
1965 88 10.201.000
1964 87 10.080.000
1963 86 9.986.000
1962 86 9.929.000
1961 85 9.854.000
1960 84 9.734.000
1959 83 9.671.000
1958 83 9.599.000
1957 81 9.410.000
1956 79 9.207.000
1955 78 9.017.000
1954 76 8.873.000
1953 74 8.591.000
1952 71 8.275.000
1951 69 8.061.000
1950 69 7.980.000
1949 69 7.973.000
1948 68 7.876.000
1947 66 7.705.000
1946 65 7.516.000
1945 60 6.915.000
1944 60 6.928.000
1943 59 6.866.000
1942 60 6.970.000
1941 60 6.958.000
1940 60 6.929.000
1939 59 6.886.000
1938 59 6.837.000
1937 59 6.809.000
1936 59 6.801.000
1935 58 6.787.000
1934 58 6.751.000
1933 58 6.740.000
1932 58 6.717.000
1931 58 6.694.000
1930 57 6.662.000
1929 57 6.626.000
Ohio - Población
