Ver además>
Riesgo de pobreza
Oklahoma - Población
Fecha Densidad Población
2023 22 4.053.824
2022 22 4.019.271
2021 22 3.991.634
2020 22 3.965.234
2019 22 3.943.796
2018 22 3.928.494
2017 22 3.920.455
2016 22 3.916.821
2015 22 3.901.051
2014 21 3.871.583
2013 21 3.848.112
2012 21 3.815.353
2011 21 3.786.640
2010 21 3.759.581
2009 21 3.717.572
2008 20 3.668.976
2007 20 3.634.349
2006 20 3.594.090
2005 20 3.548.597
2004 19 3.525.233
2003 19 3.504.892
2002 19 3.489.080
2001 19 3.467.100
2000 19 3.454.365
1999 19 3.437.147
1998 19 3.405.194
1997 19 3.372.917
1996 18 3.340.129
1995 18 3.308.208
1994 18 3.280.940
1993 18 3.252.285
1992 18 3.220.517
1991 18 3.175.440
1990 17 3.148.825
1989 17 3.150.304
1988 17 3.167.064
1987 18 3.210.124
1986 18 3.252.735
1985 18 3.271.333
1984 18 3.285.535
1983 18 3.290.404
1982 18 3.206.129
1981 17 3.096.159
1980 17 3.040.758
1979 16 2.970.080
1978 16 2.913.056
1977 16 2.865.935
1976 16 2.823.396
1975 15 2.771.858
1974 15 2.732.454
1973 15 2.694.182
1972 15 2.657.448
1971 14 2.617.944
1970 14 2.566.485
1969 14 2.535.000
1968 14 2.503.000
1967 14 2.489.000
1966 14 2.454.000
1965 13 2.440.000
1964 14 2.446.000
1963 13 2.439.000
1962 13 2.427.000
1961 13 2.380.000
1960 13 2.336.000
1959 13 2.289.000
1958 13 2.267.000
1957 13 2.282.000
1956 13 2.273.000
1955 12 2.250.000
1954 12 2.209.000
1953 12 2.182.000
1952 12 2.219.000
1951 12 2.210.000
1950 12 2.229.000
1949 12 2.105.000
1948 12 2.089.000
1947 12 2.133.000
1946 12 2.131.000
1945 11 2.025.000
1944 11 2.056.000
1943 12 2.203.000
1942 12 2.228.000
1941 12 2.262.000
1940 13 2.325.000
1939 13 2.333.000
1938 13 2.324.000
1937 13 2.334.000
1936 13 2.365.000
1935 13 2.386.000
1934 13 2.391.000
1933 13 2.392.000
1932 13 2.394.000
1931 13 2.403.000
1930 13 2.401.000
1929 13 2.372.000
Oklahoma - Población
