Ver además>
Riesgo de pobreza
Pensilvania - Población
Fecha Densidad Población
2023 109 12.961.683
2022 109 12.972.091
2021 109 13.013.614
2020 109 12.995.477
2019 109 12.991.448
2018 109 12.980.864
2017 109 12.945.337
2016 108 12.918.191
2015 108 12.898.688
2014 108 12.880.463
2013 108 12.846.775
2012 107 12.815.609
2011 107 12.772.774
2010 107 12.716.521
2009 106 12.666.858
2008 106 12.612.285
2007 105 12.563.937
2006 105 12.510.809
2005 104 12.449.990
2004 104 12.410.722
2003 104 12.374.658
2002 103 12.331.031
2001 103 12.298.970
2000 103 12.284.173
1999 103 12.263.805
1998 103 12.245.672
1997 103 12.227.814
1996 102 12.220.464
1995 102 12.198.403
1994 102 12.166.050
1993 102 12.119.724
1992 101 12.049.450
1991 100 11.982.164
1990 100 11.903.299
1989 99 11.865.992
1988 99 11.845.755
1987 99 11.810.869
1986 99 11.782.754
1985 99 11.770.865
1984 99 11.815.175
1983 99 11.837.726
1982 99 11.845.146
1981 99 11.858.569
1980 99 11.868.305
1979 100 11.873.563
1978 99 11.864.774
1977 100 11.881.857
1976 100 11.887.478
1975 100 11.897.778
1974 99 11.863.936
1973 100 11.885.202
1972 100 11.904.541
1971 100 11.884.354
1970 99 11.811.561
1969 98 11.741.000
1968 98 11.741.000
1967 98 11.681.000
1966 98 11.664.000
1965 97 11.620.000
1964 97 11.519.000
1963 96 11.424.000
1962 95 11.355.000
1961 96 11.392.000
1960 95 11.329.000
1959 94 11.234.000
1958 93 11.058.000
1957 92 10.954.000
1956 92 10.972.000
1955 92 10.939.000
1954 91 10.817.000
1953 89 10.662.000
1952 88 10.503.000
1951 88 10.461.000
1950 88 10.507.000
1949 87 10.390.000
1948 86 10.287.000
1947 86 10.201.000
1946 83 9.880.000
1945 77 9.180.000
1944 78 9.247.000
1943 79 9.424.000
1942 81 9.714.000
1941 83 9.918.000
1940 83 9.896.000
1939 83 9.901.000
1938 83 9.952.000
1937 82 9.790.000
1936 82 9.767.000
1935 82 9.774.000
1934 82 9.795.000
1933 82 9.784.000
1932 82 9.764.000
1931 81 9.707.000
1930 81 9.649.000
1929 82 9.723.000
Pensilvania - Población
