Ver además>
Riesgo de pobreza
Texas - Población
Fecha Densidad Población
2023 44 30.503.301
2022 43 30.029.848
2021 42 29.561.286
2020 42 29.234.361
2019 41 28.857.754
2018 41 28.510.878
2017 41 28.192.251
2016 40 27.830.020
2015 39 27.399.070
2014 39 26.907.878
2013 38 26.438.164
2012 37 26.055.816
2011 37 25.630.063
2010 36 25.238.863
2009 36 24.801.761
2008 35 24.309.039
2007 34 23.831.983
2006 34 23.359.580
2005 33 22.778.123
2004 32 22.394.023
2003 32 22.030.931
2002 31 21.690.325
2001 31 21.319.622
2000 30 20.944.499
1999 30 20.558.220
1998 29 20.157.531
1997 28 19.740.317
1996 28 19.340.342
1995 27 18.958.751
1994 27 18.564.062
1993 26 18.161.612
1992 26 17.759.738
1991 25 17.398.005
1990 25 17.056.755
1989 24 16.806.729
1988 24 16.667.040
1987 24 16.621.767
1986 24 16.561.103
1985 23 16.272.722
1984 23 16.007.088
1983 23 15.751.674
1982 22 15.331.408
1981 21 14.746.318
1980 21 14.338.208
1979 20 13.887.312
1978 19 13.497.726
1977 19 13.191.790
1976 19 12.903.268
1975 18 12.568.182
1974 18 12.267.865
1973 17 12.018.970
1972 17 11.758.760
1971 17 11.509.640
1970 16 11.236.772
1969 16 11.045.000
1968 16 10.819.000
1967 15 10.599.000
1966 15 10.492.000
1965 15 10.378.000
1964 15 10.270.000
1963 15 10.159.000
1962 14 10.053.000
1961 14 9.820.000
1960 14 9.624.000
1959 14 9.405.000
1958 13 9.252.000
1957 13 9.070.000
1956 13 8.830.000
1955 12 8.660.000
1954 12 8.382.000
1953 12 8.336.000
1952 12 8.314.000
1951 12 8.111.000
1950 11 7.776.000
1949 11 7.623.000
1948 11 7.626.000
1947 11 7.384.000
1946 10 7.199.000
1945 10 6.822.000
1944 10 6.861.000
1943 10 6.944.000
1942 10 6.770.000
1941 9 6.599.000
1940 9 6.425.000
1939 9 6.360.000
1938 9 6.301.000
1937 9 6.250.000
1936 9 6.192.000
1935 9 6.123.000
1934 9 6.053.000
1933 9 6.014.000
1932 9 5.961.000
1931 8 5.907.000
1930 8 5.844.000
1929 8 5.762.000
Texas - Población
