Ver además>
Riesgo de pobreza
Utah - Población
Fecha Densidad Población
2023 16 3.417.734
2022 15 3.381.236
2021 15 3.339.284
2020 15 3.283.982
2019 15 3.232.701
2018 14 3.180.896
2017 14 3.125.784
2016 14 3.063.043
2015 14 2.999.092
2014 13 2.950.652
2013 13 2.908.068
2012 13 2.860.480
2011 13 2.818.261
2010 13 2.776.094
2009 12 2.723.421
2008 12 2.663.029
2007 12 2.597.746
2006 11 2.525.507
2005 11 2.457.719
2004 11 2.401.580
2003 11 2.360.137
2002 11 2.324.815
2001 10 2.283.715
2000 10 2.244.502
1999 10 2.203.482
1998 10 2.165.960
1997 10 2.119.784
1996 9 2.067.976
1995 9 2.014.177
1994 9 1.960.446
1993 9 1.898.404
1992 8 1.836.799
1991 8 1.779.780
1990 8 1.731.223
1989 8 1.705.865
1988 8 1.689.372
1987 8 1.678.120
1986 8 1.662.833
1985 7 1.642.910
1984 7 1.622.342
1983 7 1.594.943
1982 7 1.558.314
1981 7 1.515.472
1980 7 1.472.595
1979 6 1.416.094
1978 6 1.364.235
1977 6 1.316.421
1976 6 1.272.365
1975 6 1.233.935
1974 5 1.198.793
1973 5 1.168.784
1972 5 1.134.601
1971 5 1.100.733
1970 5 1.065.672
1969 5 1.047.000
1968 5 1.029.000
1967 5 1.019.000
1966 5 1.009.000
1965 5 994.000
1964 4 978.000
1963 4 974.000
1962 4 958.000
1961 4 936.000
1960 4 900.000
1959 4 870.000
1958 4 845.000
1957 4 826.000
1956 4 809.000
1955 4 783.000
1954 3 750.000
1953 3 739.000
1952 3 724.000
1951 3 706.000
1950 3 696.000
1949 3 671.000
1948 3 653.000
1947 3 636.000
1946 3 638.000
1945 3 596.000
1944 3 616.000
1943 3 627.000
1942 3 582.000
1941 3 551.000
1940 3 552.000
1939 2 543.000
1938 2 535.000
1937 2 529.000
1936 2 527.000
1935 2 526.000
1934 2 522.000
1933 2 520.000
1932 2 517.000
1931 2 513.000
1930 2 509.000
1929 2 508.000
Utah - Población
