Ver además>
Riesgo de pobreza
Vermont - Población
Fecha Densidad Población
2023 26 647.464
2022 26 647.110
2021 26 647.093
2020 26 642.936
2019 26 641.838
2018 26 640.667
2017 26 639.061
2016 26 636.342
2015 26 635.874
2014 25 633.827
2013 25 632.824
2012 25 630.661
2011 25 629.582
2010 25 626.360
2009 25 624.817
2008 25 624.151
2007 25 623.481
2006 25 622.892
2005 25 621.215
2004 25 619.920
2003 25 617.858
2002 25 615.442
2001 25 612.223
2000 24 609.618
1999 24 604.683
1998 24 600.416
1997 24 597.239
1996 24 593.701
1995 24 589.002
1994 23 583.836
1993 23 577.748
1992 23 572.751
1991 23 568.606
1990 23 564.798
1989 22 557.708
1988 22 549.763
1987 22 540.267
1986 21 534.066
1985 21 530.035
1984 21 526.658
1983 21 523.302
1982 21 519.108
1981 21 515.594
1980 21 512.524
1979 20 505.711
1978 20 498.284
1977 20 492.174
1976 19 485.144
1975 19 479.894
1974 19 473.138
1973 19 468.533
1972 19 463.214
1971 18 454.357
1970 18 446.323
1969 18 437.000
1968 17 430.000
1967 17 423.000
1966 17 413.000
1965 16 404.000
1964 16 399.000
1963 16 397.000
1962 16 393.000
1961 16 390.000
1960 16 389.000
1959 16 387.000
1958 15 380.000
1957 15 376.000
1956 15 377.000
1955 15 375.000
1954 15 377.000
1953 15 379.000
1952 15 375.000
1951 15 378.000
1950 15 379.000
1949 15 369.000
1948 14 359.000
1947 14 354.000
1946 14 342.000
1945 13 315.000
1944 13 315.000
1943 13 325.000
1942 14 345.000
1941 14 348.000
1940 15 363.000
1939 14 358.000
1938 14 356.000
1937 14 356.000
1936 14 357.000
1935 14 357.000
1934 14 357.000
1933 14 357.000
1932 14 358.000
1931 14 359.000
1930 14 360.000
1929 14 359.000
Vermont - Población
