Ver además>
Riesgo de pobreza
Virginia - Población
Fecha Densidad Población
2023 79 8.715.698
2022 78 8.679.099
2021 78 8.657.348
2020 78 8.637.193
2019 78 8.597.339
2018 77 8.547.016
2017 77 8.502.578
2016 76 8.444.688
2015 76 8.389.864
2014 75 8.333.578
2013 75 8.269.638
2012 74 8.196.915
2011 73 8.107.628
2010 72 8.025.030
2009 72 7.925.937
2008 71 7.833.496
2007 70 7.751.000
2006 69 7.673.725
2005 68 7.577.105
2004 67 7.475.575
2003 66 7.366.977
2002 66 7.286.873
2001 65 7.198.362
2000 64 7.105.817
1999 63 7.000.174
1998 62 6.900.918
1997 62 6.829.183
1996 61 6.750.884
1995 60 6.670.693
1994 60 6.593.139
1993 59 6.509.630
1992 58 6.414.307
1991 57 6.301.217
1990 56 6.216.884
1989 55 6.120.246
1988 54 6.036.908
1987 54 5.932.273
1986 52 5.811.692
1985 52 5.715.149
1984 51 5.643.868
1983 50 5.564.662
1982 50 5.492.785
1981 49 5.444.094
1980 48 5.368.334
1979 48 5.324.533
1978 48 5.284.122
1977 47 5.205.706
1976 46 5.132.693
1975 46 5.056.385
1974 45 4.978.155
1973 44 4.906.648
1972 44 4.828.131
1971 43 4.752.846
1970 42 4.659.930
1969 42 4.614.000
1968 41 4.558.000
1967 41 4.508.000
1966 40 4.456.000
1965 40 4.411.000
1964 39 4.357.000
1963 39 4.276.000
1962 38 4.180.000
1961 37 4.095.000
1960 36 3.986.000
1959 36 3.951.000
1958 35 3.914.000
1957 35 3.844.000
1956 34 3.722.000
1955 32 3.588.000
1954 32 3.555.000
1953 32 3.557.000
1952 32 3.504.000
1951 31 3.434.000
1950 30 3.315.000
1949 30 3.292.000
1948 29 3.207.000
1947 30 3.273.000
1946 30 3.371.000
1945 32 3.566.000
1944 33 3.642.000
1943 32 3.510.000
1942 30 3.311.000
1941 27 2.975.000
1940 25 2.720.000
1939 24 2.670.000
1938 24 2.638.000
1937 23 2.590.000
1936 23 2.552.000
1935 23 2.520.000
1934 22 2.485.000
1933 22 2.460.000
1932 22 2.452.000
1931 22 2.445.000
1930 22 2.427.000
1929 22 2.425.000
Virginia - Población
