Ver además>
Riesgo de pobreza
Washington - Población
Fecha Densidad Población
2023 42 7.812.880
2022 42 7.784.477
2021 42 7.741.433
2020 42 7.724.566
2019 41 7.638.689
2018 41 7.548.537
2017 40 7.446.807
2016 40 7.315.935
2015 39 7.180.454
2014 38 7.068.026
2013 38 6.974.173
2012 37 6.904.030
2011 37 6.830.460
2010 37 6.743.597
2009 36 6.667.426
2008 36 6.562.231
2007 35 6.461.587
2006 34 6.370.753
2005 34 6.257.305
2004 33 6.178.645
2003 33 6.104.115
2002 33 6.052.349
2001 32 5.985.722
2000 32 5.910.512
1999 32 5.842.564
1998 31 5.769.562
1997 31 5.674.747
1996 30 5.569.753
1995 30 5.481.027
1994 29 5.375.161
1993 29 5.278.842
1992 28 5.160.757
1991 27 5.025.624
1990 27 4.903.043
1989 26 4.746.315
1988 25 4.639.894
1987 25 4.531.903
1986 24 4.452.724
1985 24 4.400.096
1984 24 4.343.657
1983 23 4.300.269
1982 23 4.276.551
1981 23 4.235.728
1980 22 4.154.678
1979 22 4.012.831
1978 21 3.886.191
1977 20 3.772.360
1976 20 3.690.561
1975 20 3.618.824
1974 19 3.547.877
1973 19 3.477.227
1972 19 3.446.815
1971 19 3.446.958
1970 19 3.417.362
1969 18 3.343.000
1968 18 3.270.000
1967 17 3.174.000
1966 17 3.057.000
1965 16 2.967.000
1964 16 2.961.000
1963 16 2.955.000
1962 16 2.942.000
1961 16 2.882.000
1960 15 2.855.000
1959 15 2.821.000
1958 15 2.773.000
1957 15 2.724.000
1956 14 2.668.000
1955 14 2.604.000
1954 14 2.516.000
1953 13 2.466.000
1952 13 2.448.000
1951 13 2.424.000
1950 13 2.387.000
1949 12 2.294.000
1948 12 2.255.000
1947 12 2.225.000
1946 12 2.300.000
1945 12 2.238.000
1944 12 2.138.000
1943 11 2.022.000
1942 10 1.904.000
1941 10 1.793.000
1940 9 1.740.000
1939 9 1.715.000
1938 9 1.698.000
1937 9 1.681.000
1936 9 1.653.000
1935 9 1.629.000
1934 9 1.610.000
1933 9 1.592.000
1932 9 1.584.000
1931 9 1.581.000
1930 8 1.568.000
1929 8 1.555.000
Washington - Población
